Time,D/T,Wind Direction,Wind Speed,Temperature,Relative Humidity,PM 2.5,Atmospheric Pressure,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Smell Prediction,anomaly_type
2026-02-12 15:10:00,0.0,0.0,0.0,23.97,41.72,49.17,1009.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ambient,🥶 อุณหภูมิต่ำผิดปกติ (<24.00°C)
2026-02-12 15:11:00,0.0,0.0,0.0,23.88,41.9,49.17,1009.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ambient,🥶 อุณหภูมิต่ำผิดปกติ (<24.00°C)
2026-02-12 15:12:00,0.0,0.0,0.0,23.81,41.98,50.8,1009.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ambient,🥶 อุณหภูมิต่ำผิดปกติ (<24.00°C)
2026-02-12 15:13:00,0.0,0.0,0.0,23.76,41.95,51.17,1009.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ambient,🥶 อุณหภูมิต่ำผิดปกติ (<24.00°C)
2026-02-12 15:14:00,0.0,0.0,0.0,23.72,41.91,50.33,1009.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ambient,🥶 อุณหภูมิต่ำผิดปกติ (<24.00°C)
2026-02-12 15:15:00,0.0,0.0,0.0,23.65,41.92,53.5,1009.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ambient,🥶 อุณหภูมิต่ำผิดปกติ (<24.00°C)
2026-02-12 15:16:00,0.0,0.0,0.0,23.62,42.18,55.0,1009.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ambient,🥶 อุณหภูมิต่ำผิดปกติ (<24.00°C)
2026-02-12 15:17:00,0.0,0.0,0.0,23.58,42.36,53.83,1009.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ambient,🥶 อุณหภูมิต่ำผิดปกติ (<24.00°C)
2026-02-12 15:18:00,0.0,0.0,0.0,23.55,42.61,53.0,1009.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ambient,🥶 อุณหภูมิต่ำผิดปกติ (<24.00°C)
2026-02-12 15:19:00,0.0,0.0,0.0,23.55,42.74,52.29,1009.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ambient,🥶 อุณหภูมิต่ำผิดปกติ (<24.00°C)
